Campaign_ID,Channel,Region,Campaign_Type,Date,Budget,Leads_Generated,Conversions,Revenue,Cost_per_Lead,Conversion_Rate,ROI,Cost_per_Conversion,Revenue_per_Lead,Efficiency_Score
CMP_0001,Paid Ads,West,Conversion,2025-04-23,31654,4880,758,1365916,6.486475409836066,0.155327868852459,42.151450053705695,41.7598944591029,279.90081967213115,6.702622774735434
CMP_0002,Referral,West,Awareness,2025-04-04,20233,1675,269,190452,12.079402985074626,0.1605970149253731,8.412939257648397,75.21561338289963,113.70268656716418,1.5116899464521902
CMP_0003,SEO,West,Conversion,2025-04-28,20887,2909,628,715920,7.180130629082159,0.215881746304572,33.27586537080481,33.25955414012739,246.1051907872121,7.399533672349749
CMP_0004,Referral,West,Awareness,2025-03-22,34320,3078,355,659590,11.15009746588694,0.1153346328784925,18.21882284382284,96.67605633802818,214.29174788823912,2.216595877049093
CMP_0005,Referral,West,Conversion,2025-04-19,25808,3853,845,1530295,6.698157280041526,0.219309628860628,58.295373527588346,30.542011834319528,397.1697378665975,13.004046361487712
CMP_0006,Social Media,North,Conversion,2025-02-20,35154,6054,1534,1152034,5.806739345887017,0.2533861909481334,31.771064459236506,22.916558018252932,190.29302940204823,8.303735196641691
CMP_0007,SEO,West,Consideration,2025-05-27,39773,6630,1624,2903712,5.99894419306184,0.244947209653092,72.00711537978026,24.49076354679803,437.9656108597285,17.882889197098514
CMP_0008,SEO,North,Awareness,2025-06-19,32747,5374,1154,888580,6.093598809080759,0.2147376256047636,26.1346993617736,28.37694974003466,165.34797171566802,5.826840912446359
CMP_0009,SEO,West,Consideration,2025-02-04,15860,1239,435,617265,12.800645682001614,0.3510895883777239,37.919609079445145,36.45977011494253,498.19612590799034,13.664269531524324
CMP_0010,Referral,East,Awareness,2025-02-15,47838,3026,434,398412,15.808988764044944,0.1434236615994712,7.328358208955223,110.2258064516129,131.6629213483146,1.1944836294403727
CMP_0011,Paid Ads,South,Conversion,2025-06-03,47156,7301,1837,2377078,6.458841254622654,0.2516093685796466,49.4088133005344,25.670114316820904,325.5825229420627,12.683329685396751
CMP_0012,SEO,North,Conversion,2025-03-10,23156,2437,289,501126,9.501846532622077,0.1185884283955683,20.641302470202103,80.12456747404845,205.63233483791547,2.5664080483743983
CMP_0013,Referral,West,Awareness,2025-04-03,25360,2912,353,666464,8.708791208791208,0.1212225274725274,25.2801261829653,71.84135977337111,228.86813186813185,3.1857433181959998
CMP_0014,Social Media,East,Consideration,2025-03-05,23135,1264,344,550056,18.303006329113924,0.2721518987341772,22.77592392478928,67.25290697674419,435.17088607594934,6.470662840290753
CMP_0015,Paid Ads,South,Consideration,2025-06-14,30351,2699,728,1342432,11.245276028158576,0.2697295294553538,43.23023953082271,41.690934065934066,497.3812523156725,11.9302016963464
CMP_0016,Social Media,North,Consideration,2025-02-18,35499,1954,710,869040,18.16734902763562,0.3633572159672467,23.48068959689005,49.998591549295774,444.7492323439099,8.895235216884307
CMP_0017,Paid Ads,South,Consideration,2025-05-29,28554,5193,1388,1293616,5.498555748122473,0.2672828808010783,44.304195559291166,20.572046109510087,249.10764490660503,12.109035901462764
CMP_0018,Referral,East,Conversion,2025-03-15,24604,2128,825,501600,11.56203007518797,0.387687969924812,19.38692895464152,29.823030303030304,235.71428571428572,7.903767099426342
CMP_0019,Email,North,Conversion,2025-01-05,21923,2928,335,381900,7.487363387978142,0.1144125683060109,16.420061123021483,65.44179104477612,130.43032786885246,1.9930739331325809
CMP_0020,Paid Ads,South,Conversion,2025-04-10,13547,756,97,152290,17.91931216931217,0.1283068783068783,10.24160330700524,139.659793814433,201.44179894179894,1.4423750274861222
CMP_0021,Social Media,West,Conversion,2025-03-11,49283,7393,837,734886,6.66617070201542,0.1132152035709454,13.911551650670615,58.8805256869773,99.40294873529014,1.688214355689342
CMP_0022,Referral,North,Conversion,2025-03-31,38002,3741,582,942258,10.158246458166266,0.1555733761026463,23.79495816009684,65.29553264604812,251.87329591018445,3.857435351290125
CMP_0023,Paid Ads,South,Consideration,2025-01-04,19562,3612,947,1379779,5.415836101882613,0.2621816168327796,69.5336366424701,20.656810982048576,381.9986157253599,18.492622896018602
CMP_0024,Email,East,Consideration,2025-05-06,12480,2286,671,403942,5.459317585301838,0.2935258092738407,31.36714743589744,18.599105812220568,176.70253718285215,9.500593145007516
CMP_0025,Email,East,Consideration,2025-02-08,31672,3128,355,493805,10.12531969309463,0.1134910485933503,14.591216216216216,89.21690140845071,157.86604859335037,1.769463477224027
CMP_0026,SEO,North,Consideration,2025-06-12,9213,1705,654,884862,5.4035190615835775,0.3835777126099707,95.04493650276784,14.087155963302752,518.9806451612903,36.840697051501564
CMP_0027,SEO,South,Conversion,2025-05-09,15293,3049,1075,1794175,5.015742866513612,0.3525746146277468,116.32001569345452,14.226046511627906,588.4470318137094,41.36405932124094
CMP_0028,Social Media,North,Conversion,2025-01-24,39441,6855,1295,2007250,5.753610503282276,0.1889132020423048,49.89247230039806,30.456370656370655,292.81546316557257,9.614259902117503
CMP_0029,Paid Ads,North,Conversion,2025-02-26,7100,1254,154,158466,5.661881977671452,0.1228070175438596,21.319154929577465,46.103896103896105,126.36842105263158,2.7409488510007414
CMP_0030,Paid Ads,South,Awareness,2025-04-10,49617,4334,654,770412,11.448315643747115,0.15089986155976,14.527178184896306,75.86697247706422,177.76003691739731,2.343049038514579
CMP_0031,SEO,South,Consideration,2025-03-11,33172,4528,625,930000,7.325971731448763,0.138030035335689,27.035692752924152,53.0752,205.3886925795053,3.8697676613466423
CMP_0032,Paid Ads,West,Consideration,2025-02-10,25132,1510,206,330630,16.643708609271524,0.1364238410596026,12.155737704918034,122.0,218.96026490066225,1.7947562696775594
CMP_0033,Paid Ads,South,Conversion,2025-06-23,23199,1490,380,352260,15.56979865771812,0.2550335570469799,14.184275184275185,61.05,236.41610738255034,3.8724997114258866
CMP_0034,Email,East,Consideration,2025-03-01,41609,8314,1444,1907524,5.004690882848208,0.1736829444310801,44.84402412939508,28.815096952908586,229.4351695934568,7.962325095362821
CMP_0035,SEO,North,Consideration,2025-04-18,47965,4748,984,1658040,10.102148272957034,0.2072451558550969,33.567705618680286,48.74491869918699,349.2080876158382,7.163989538496504
CMP_0036,Referral,North,Conversion,2025-02-26,13016,2111,837,1197747,6.165798199905258,0.3964945523448602,91.0211278426552,15.550776583034647,567.383704405495,36.485875890242724
CMP_0037,SEO,East,Awareness,2025-01-31,44779,7657,2337,4498725,5.848112837926081,0.3052109181141439,99.46506174769424,19.16089002995293,587.531017369727,30.663033734407918
CMP_0038,Referral,South,Awareness,2025-03-25,42261,7552,2905,4534705,5.596001059322034,0.384666313559322,106.30235914909728,14.547676419965576,600.4641154661017,41.275602930101634
CMP_0039,Email,East,Awareness,2025-06-01,36881,7363,1051,1061510,5.008963737606954,0.1427407306804291,27.78202868685773,35.09134157944815,144.16813798723348,4.108367805227146
CMP_0040,Social Media,East,Conversion,2025-02-05,22058,1901,408,363936,11.603366649132036,0.2146238821672803,15.49904796445734,54.06372549019608,191.4445028932141,3.5410897261959993
CMP_0041,Paid Ads,West,Consideration,2025-06-07,29472,1651,439,532068,17.85099939430648,0.2658994548758328,17.053338762214985,67.13439635535308,322.2701393095094,4.800372935561707
CMP_0042,Email,East,Conversion,2025-06-01,46346,5175,636,631548,8.955748792270532,0.1228985507246376,12.626807059940448,72.87106918238993,122.03826086956522,1.674714838670942
CMP_0043,Paid Ads,North,Conversion,2025-04-18,39926,2775,280,482440,14.387747747747747,0.1009009009009009,11.083354205279768,142.59285714285716,173.85225225225224,1.219221325217418
CMP_0044,Social Media,East,Consideration,2025-04-16,39832,2125,639,1136142,18.74447058823529,0.3007058823529411,27.52334806185981,62.33489827856025,534.6550588235294,8.577138546601608
CMP_0045,Social Media,North,Awareness,2025-06-07,41021,4268,1248,2124096,9.611293345829427,0.2924086223055295,50.78069769142634,32.86939102564103,497.67947516401125,15.141122473969087
CMP_0046,Email,North,Awareness,2025-03-27,29087,4873,1087,1137002,5.969012928380875,0.22306587317874,38.08969642795751,26.758969641214353,233.32690334496203,8.719577265994214
CMP_0047,Social Media,North,Conversion,2025-05-15,17828,2405,593,648149,7.412889812889813,0.2465696465696465,35.355676463989234,30.06408094435076,269.5006237006237,8.964206296526244
CMP_0048,Referral,South,Awareness,2025-06-12,36128,3501,786,697968,10.319337332190802,0.2245072836332476,18.319309123117804,45.96437659033079,199.3624678663239,4.337325612902198
CMP_0049,Social Media,West,Conversion,2025-01-14,6401,948,101,194021,6.752109704641351,0.1065400843881856,29.31104514919544,63.37623762376238,204.66350210970464,3.229341308089387
CMP_0050,Paid Ads,North,Conversion,2025-04-30,24643,2089,419,275283,11.796553374820489,0.2005744375299186,10.170839589335714,58.81384248210024,131.77740545715653,2.240584867367958
CMP_0051,Paid Ads,North,Consideration,2025-05-18,20193,1053,161,245847,19.17663817663818,0.1528964862298195,11.174862576140246,125.4223602484472,233.47293447293447,1.8614937082227725
CMP_0052,Paid Ads,South,Consideration,2025-03-21,31853,5244,679,452214,6.07418001525553,0.1294813119755911,13.19690453018554,46.91163475699558,86.2345537757437,1.838233824560637
CMP_0053,Paid Ads,North,Consideration,2025-05-24,49864,7158,2770,5515070,6.966191673651858,0.3869796032411288,109.60223808759828,18.0014440433213,770.4763900530875,42.80081021271964
CMP_0054,Referral,East,Conversion,2025-04-16,25307,4159,1163,1696817,6.084876172156768,0.2796345275306564,66.04931441893547,21.760103181427343,407.9867756672277,18.749303358793448
CMP_0055,SEO,East,Consideration,2025-03-11,41982,2344,746,677368,17.910409556313994,0.318259385665529,15.13472440569768,56.27613941018767,288.9795221843003,5.135027477239961
CMP_0056,Email,West,Awareness,2025-02-13,24611,4320,840,1625400,5.69699074074074,0.1944444444444444,65.04363902320101,29.298809523809524,376.25,12.841818698955752
CMP_0057,Paid Ads,North,Awareness,2025-03-14,48791,6973,1519,2623313,6.997131794062813,0.2178402409292987,52.76632985591605,32.12047399605003,376.2100960848989,11.712470249696898
CMP_0058,Social Media,South,Conversion,2025-02-14,16950,2279,389,269577,7.437472575691093,0.1706888986397542,14.90424778761062,43.573264781491005,118.28740675734971,2.7146785385610053
CMP_0059,Paid Ads,East,Conversion,2025-04-17,15704,2256,291,213594,6.960992907801418,0.1289893617021276,12.601248089658686,53.965635738831615,94.67819148936171,1.754416309437357
CMP_0060,Social Media,South,Consideration,2025-03-25,48111,8643,1328,1616176,5.566469975702881,0.1536503528867291,32.592650329446485,36.22816265060241,186.99247946314938,5.161522577519951
CMP_0061,Social Media,South,Conversion,2025-03-23,16867,2328,789,1319997,7.245274914089347,0.3389175257731959,77.25914507618427,21.377693282636248,567.0090206185567,26.523395818345957
CMP_0062,Paid Ads,East,Conversion,2025-04-17,7745,1062,322,541604,7.292843691148776,0.3032015065913371,68.92950290510007,24.0527950310559,509.984934086629,21.202730636009623
CMP_0063,Referral,South,Awareness,2025-01-21,8866,1760,464,836128,5.0375,0.2636363636363636,93.30724114595084,19.107758620689655,475.07272727272726,24.862818120296126
CMP_0064,Social Media,East,Awareness,2025-06-27,37245,6089,1476,1940940,6.116767942190836,0.242404335687305,51.1127668143375,25.233739837398375,318.761701428806,12.632360620456915
CMP_0065,Social Media,South,Consideration,2025-06-10,49724,5785,2179,1967637,8.59533275713051,0.3766637856525497,38.57117287426595,22.81964203763194,340.1273984442524,14.905027777532498
CMP_0066,Paid Ads,East,Conversion,2025-01-07,10818,1688,205,285360,6.408767772511848,0.1214454976303317,25.378258458125348,52.770731707317076,169.0521327014218,3.2035207250685405
CMP_0067,Social Media,North,Conversion,2025-03-11,35116,3806,700,823900,9.2264844981608,0.1839201261166579,22.462239435015377,50.16571428571429,216.47398843930637,4.315178035867253
CMP_0068,Social Media,West,Awareness,2025-05-07,20493,1728,354,649236,11.859375,0.2048611111111111,30.680866637388377,57.889830508474574,375.71527777777777,6.490177540298313
CMP_0069,Paid Ads,East,Conversion,2025-05-23,33038,4609,1542,874314,7.168149273161206,0.3345628118897809,25.463890065984625,21.425421530479895,189.69711434150574,8.853833474017854
CMP_0070,Paid Ads,East,Awareness,2025-06-09,25447,4815,1915,3803190,5.284942886812046,0.3977154724818276,148.4553385467835,13.288250652741514,789.8629283489097,59.440700585065514
CMP_0071,Email,West,Consideration,2025-05-28,35431,6709,1155,677985,5.281114920256372,0.1721568042927411,18.13536168891649,30.676190476190477,101.05604411983902,3.294282717349611
CMP_0072,Referral,East,Awareness,2025-05-23,22908,2320,840,601440,9.874137931034484,0.3620689655172414,25.25458355159769,27.271428571428572,259.2413793103448,9.505969906612957
CMP_0073,Referral,East,Conversion,2025-06-25,34336,4434,1548,774000,7.743797925124041,0.3491204330175913,21.541938490214356,22.180878552971578,174.56021650879566,7.869851326759544
CMP_0074,Social Media,South,Consideration,2025-05-29,45992,3759,629,1042882,12.235168927906358,0.1673317371641394,21.675291355018263,73.11923688394276,277.43602021814314,3.7942958931381985
CMP_0075,Referral,West,Awareness,2025-06-19,9025,1799,395,740230,5.016675931072818,0.2195664257921067,81.01994459833794,22.848101265822784,411.467481934408,18.008826079123672
CMP_0076,Social Media,North,Awareness,2025-06-03,25093,4947,1102,704178,5.072367091166363,0.2227612694562361,27.062726656836567,22.770417422867514,142.34445118253487,6.251288614480271
CMP_0077,Email,East,Consideration,2025-04-30,11155,1644,646,721582,6.785279805352798,0.3929440389294404,63.68686687584043,17.26780185758514,438.9184914841849,25.418318735883773
CMP_0078,Paid Ads,West,Consideration,2025-05-08,38487,6568,1013,640216,5.859774665042631,0.1542326431181486,15.634603892223348,37.99308983218164,97.47503045066992,2.5655989255210496
CMP_0079,Paid Ads,South,Awareness,2025-05-22,25963,4083,1387,938999,6.3588048003918685,0.3397012000979671,35.16681431267573,18.718817591925017,229.9777124663238,12.285910225736282
CMP_0080,Paid Ads,North,Conversion,2025-02-26,25936,3604,721,943789,7.196448390677025,0.2000554938956714,35.3891502159161,35.972260748959776,261.87264150943395,7.279849418888877
CMP_0081,Referral,West,Awareness,2025-06-14,9426,546,174,327294,17.263736263736263,0.3186813186813186,33.722469764481225,54.172413793103445,599.4395604395604,11.065402452417093
CMP_0082,Email,North,Consideration,2025-02-27,28303,3345,755,663645,8.461285500747383,0.2257100149476831,22.447867717203124,37.487417218543044,198.39910313901345,5.292418572941213
CMP_0083,Referral,North,Awareness,2025-01-21,32606,4930,1348,1896636,6.613793103448276,0.2734279918864097,57.16831258050666,24.188427299703264,384.7131845841785,15.904844900308921
CMP_0084,Referral,North,Consideration,2025-03-23,33151,5026,1758,2034006,6.595901313171508,0.3497811380819737,60.35579620524268,18.857224118316267,404.6967767608436,21.46110022459543
CMP_0085,Email,East,Consideration,2025-03-10,18767,1988,678,643422,9.440140845070422,0.341046277665996,33.28475515532584,27.679941002949853,323.6529175050302,11.692688126413945
CMP_0086,Email,East,Conversion,2025-05-11,16308,3118,1122,1217370,5.230275817831943,0.3598460551635664,73.6486387049301,14.53475935828877,390.4329698524695,26.86201816129941
CMP_0087,Email,South,Consideration,2025-03-28,49245,3698,435,418470,13.31665765278529,0.11763115197404,7.497715504112093,113.20689655172414,113.1611681990265,0.9995960638963656
CMP_0088,Email,South,Consideration,2025-06-14,29770,3722,1144,1703416,7.998387963460505,0.30736163353036,56.21921397379913,26.022727272727273,457.6614723267061,17.586991076310102
CMP_0089,Paid Ads,West,Conversion,2025-02-18,33572,5157,732,1193892,6.509986426216793,0.1419429901105293,34.56213511259383,45.86338797814208,231.50901687027343,5.047795792596215
CMP_0090,SEO,South,Consideration,2025-05-27,46448,7179,1613,1001673,6.46998189162836,0.2246831034963086,20.565471064416123,28.796032238065717,139.5282072712077,4.845396967112858
CMP_0091,SEO,North,Conversion,2025-04-25,7204,1061,280,144480,6.789820923656928,0.2639019792648445,19.05552470849528,25.728571428571428,136.17342130065975,5.292692665766897
CMP_0092,Email,North,Conversion,2025-03-30,32233,2942,649,1115631,10.95615227736234,0.2205982324949014,33.61145409983557,49.665639445300464,379.20836165873556,7.635225598502136
CMP_0093,SEO,East,Consideration,2025-03-26,26729,1962,502,414652,13.623343527013253,0.2558613659531091,14.51318792322945,53.245019920318725,211.3414882772681,3.9692254523247628
CMP_0094,SEO,North,Consideration,2025-05-08,36131,5253,2095,1711615,6.87816485817628,0.3988197220635827,46.372477927541446,17.246300715990454,325.83571292594706,18.893078480525286
CMP_0095,Email,West,Awareness,2025-05-20,38870,5437,764,999312,7.149163141438293,0.1405186683832996,24.709081553897608,50.87696335078534,183.7984182453559,3.6126059053113435
CMP_0096,SEO,North,Conversion,2025-06-18,43011,3307,1000,1775000,13.00604777744179,0.3023888720895071,40.26851270605194,43.011,536.7402479588751,12.47913900999454
CMP_0097,Referral,North,Awareness,2025-06-10,44382,6913,1512,1515024,6.420078113698828,0.2187183567192246,33.13600108151954,29.353174603174605,219.1557934326631,7.466170061515629
CMP_0098,Social Media,West,Consideration,2025-06-27,46475,5496,768,474624,8.456149927219796,0.1397379912663755,9.21245831091985,60.514322916666664,86.35807860262008,1.4270684102595423
CMP_0099,Social Media,South,Awareness,2025-04-27,26607,3995,589,712101,6.660075093867334,0.1474342928660826,25.76367121434209,45.173174872665534,178.24806007509386,3.9458829399868565
CMP_0100,Email,South,Conversion,2025-05-07,29968,5262,2024,1101056,5.69517293804637,0.3846446218167997,35.74105712760278,14.806324110671937,209.24667426833904,14.132250023996205
CMP_0101,Paid Ads,West,Awareness,2025-03-12,38398,2897,1054,856902,13.254401104590956,0.3638246461857093,21.31631855825824,36.43074003795066,295.7894373489817,8.119226703625884
CMP_0102,Email,East,Conversion,2025-03-27,16908,893,332,565064,18.933930571108625,0.3717805151175812,32.4199195647031,50.9277108433735,632.7704367301232,12.424874910953449
CMP_0103,Paid Ads,North,Consideration,2025-02-02,31423,5243,2083,1910111,5.993324432576769,0.3972916269311463,59.78703497438183,15.085453672587613,364.31642189586114,24.150180021292645
CMP_0104,Social Media,West,Consideration,2025-03-22,48615,6876,1117,1178435,7.070244328097731,0.1624490983129726,23.24015221639412,43.52282900626679,171.38379872018615,3.9377908705224303
CMP_0105,Email,North,Conversion,2025-06-01,14171,2195,453,725253,6.456036446469248,0.206378132118451,50.17867475830922,31.282560706401767,330.4113895216401,10.562159300917575
CMP_0106,Referral,East,Consideration,2025-03-02,17721,3113,936,772200,5.692579505300353,0.3006745904272406,42.57541899441341,18.932692307692307,248.0565371024735,13.102021258840653
CMP_0107,SEO,North,Consideration,2025-03-02,21616,3683,902,1695760,5.869128427912028,0.244909041542221,77.44929681717247,23.964523281596453,460.4289980993755,19.21294209315492
CMP_0108,Paid Ads,West,Consideration,2025-04-08,47512,9223,2079,4031181,5.151469153203947,0.2254147240594166,83.84553375989223,22.85329485329485,437.07914995120893,19.12543258016003
CMP_0109,SEO,North,Consideration,2025-01-28,43458,5666,1174,1190436,7.669961171902576,0.2072008471584892,26.392793041557365,37.017035775127766,210.1016590187081,5.675809924247855
CMP_0110,SEO,South,Conversion,2025-02-12,12659,1560,433,308729,8.11474358974359,0.2775641025641026,23.38810332569713,29.23556581986143,197.90320512820512,6.76926201283773
CMP_0111,Email,East,Awareness,2025-06-18,48369,5334,1454,833142,9.068053993250844,0.2725909261342332,16.224710041555543,33.26616231086658,156.19460067491565,4.695299662621252
CMP_0112,SEO,East,Awareness,2025-06-16,16704,1220,181,182448,13.691803278688525,0.1483606557377049,9.922413793103448,92.28729281767956,149.54754098360655,1.6204564725833803
CMP_0113,Referral,East,Consideration,2025-03-27,37793,5135,1240,1030440,7.359883154819863,0.2414800389483933,26.26536660228085,30.47822580645161,200.6699123661149,6.584041789061002
CMP_0114,SEO,West,Awareness,2025-06-26,36226,3316,882,1425312,10.924607961399277,0.2659831121833534,38.34500082813449,41.07256235827664,429.82870928829914,10.46510576912383
CMP_0115,Email,East,Awareness,2025-01-17,28852,5429,1471,1746077,5.314422545588506,0.2709522932400073,59.51840427006793,19.61386811692726,321.6203720758887,16.39760042020076
CMP_0116,Referral,South,Consideration,2025-04-08,37082,5097,830,959480,7.275259956837355,0.1628408867961546,24.874548298365784,44.67710843373494,188.24406513635472,4.213434390355817
CMP_0117,Social Media,West,Consideration,2025-04-08,27794,3861,1245,2231040,7.198653198653199,0.3224553224553224,79.2705619917968,22.32449799196787,577.8399378399379,25.883669950734784
CMP_0118,SEO,South,Awareness,2025-03-06,46420,4792,515,977985,9.686978297161936,0.1074707846410684,20.068181818181817,90.13592233009709,204.087020033389,2.2642140309606917
CMP_0119,Email,North,Conversion,2025-03-15,18379,1062,219,334413,17.306026365348398,0.2062146892655367,17.195386038413407,83.92237442922375,314.8898305084746,3.7521558779779056
CMP_0120,Social Media,North,Consideration,2025-03-26,12006,657,219,363759,18.273972602739725,0.3333333333333333,29.29810094952524,54.821917808219176,553.6666666666666,10.099366983175079
CMP_0121,Social Media,North,Conversion,2025-01-05,13682,1552,417,731418,8.815721649484535,0.2686855670103092,52.45841251279053,32.810551558753,471.27448453608247,14.363503877470135
